Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
126,MRT,Mauritania,Nouakchott,Africa,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,1030700,4.5951,1.0263,0.06,Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,1030700,3.1,0.07,0,70.89,1800.0,41.7,12.9,0.48,0.01,99.51,1,40.99,12.16,0.25,0.29,0.46
157,MUS,Mauritius,Port Louis,Africa,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,2040,636.9946,1.0004,0.02,Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,2040,608.3,8.68,-0.9,15.03,11400.0,85.6,289.3,49.26,2.96,47.78,2,15.43,6.86,59,298,643
182,MYT,Mayotte,Mamoudzou,Africa,326101,305587,249545,211786,159215,92659,52233,35383,374,871.9278,1.0319,0.0,Mayotte ,SUB-SAHARAN AFRICA                 ,201234,374,538.1,49.52,6.78,62.4,2600.0,,49.7,,,,2,40.95,7.7,nan,nan,nan
10,MEX,Mexico,Mexico City,North America,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306,1964375,64.9082,1.0063,1.6,Mexico ,LATIN AMER. & CARIB    ,107449525,1972550,54.5,0.47,-4.87,20.91,9000.0,92.2,181.6,12.99,1.31,85.7,1.5,20.69,4.74,38,259,702
194,FSM,Micronesia,Palikir,Oceania,114164,112106,109462,107588,111709,98603,76299,58989,702,162.6268,1.0091,0.0,Micronesia. Fed. St. ,OCEANIA                            ,108004,702,153.9,870.66,-20.99,30.21,2000.0,89.0,114.8,5.71,45.71,48.58,2,24.68,4.75,289,152,559
135,MDA,Moldova,Chisinau,Europe,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,33846,96.7026,1.0691,0.04,Moldova ,C.W. OF IND. STATES ,4466706,33843,132.0,0.00,-0.26,40.42,1800.0,99.1,208.1,55.3,10.79,33.91,nan,15.7,12.64,213,233,555
217,MCO,Monaco,Monaco,Europe,36469,36922,36760,33178,32465,30329,27076,24270,2,18234.5,0.9941,0.0,Monaco ,WESTERN EUROPE                     ,32543,2,16271.5,205.00,7.75,5.43,27000.0,99.0,1035.6,0.0,0.0,100.0,nan,9.19,12.91,0.17,nan,nan
134,MNG,Mongolia,Ulaanbaatar,Asia,3398366,3294335,2964749,2702520,2450979,2161433,1697780,1293880,1564110,2.1727,1.0151,0.04,Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1564116,1.8,0.00,0,53.79,1800.0,97.8,55.1,0.77,0.0,99.23,1,21.59,6.95,206,214,0.58
230,MSR,Montserrat,Brades,North America,4390,4500,5059,4938,5138,10805,11452,11402,102,43.0392,0.9939,0.0,Montserrat ,LATIN AMER. & CARIB    ,9439,102,92.5,39.22,0,7.35,3400.0,97.0,,20.0,0.0,80.0,2,17.59,7.1,nan,nan,nan
40,MAR,Morocco,Rabat,Africa,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,446550,83.883,1.0103,0.47,Morocco ,NORTHERN AFRICA                    ,33241259,446550,74.4,0.41,-0.98,41.62,4000.0,51.7,40.4,19.61,2.17,78.22,nan,21.98,5.58,217,357,426
48,MOZ,Mozambique,Maputo,Africa,32969517,31178239,26843246,23073723,17768505,13303459,11413587,8411676,801590,41.1302,1.0278,0.41,Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,801590,24.6,0.31,0,130.79,1200.0,47.8,3.5,5.1,0.3,94.6,2,35.18,21.35,262,348,0.39
145,NAM,Namibia,Windhoek,Africa,2567012,2489098,2282704,2099271,1819141,1369011,975994,754467,825615,3.1092,1.0146,0.03,Namibia ,SUB-SAHARAN AFRICA                 ,2044147,825418,2.5,0.19,0,48.98,7200.0,84.0,62.6,0.99,0.0,99.01,1,24.32,18.86,97,315,588
225,NRU,Nauru,Yaren,Oceania,12668,12315,11185,10241,10377,9598,7635,6663,21,603.2381,1.0125,0.0,Nauru ,OCEANIA                            ,13287,21,632.7,142.86,0,9.95,5000.0,,143.0,0.0,0.0,100.0,2,24.76,6.7,nan,nan,nan
49,NPL,Nepal,Kathmandu,Asia,30547580,29348627,27610325,27161567,24559500,19616530,15600442,12501285,147181,207.5511,1.0171,0.38,Nepal ,ASIA (EX. NEAR EAST)         ,28287147,147181,192.2,0.00,0,66.98,1400.0,45.2,15.9,21.68,0.64,77.68,nan,30.98,9.31,0.38,0.21,0.41
71,NLD,Netherlands,Amsterdam,Europe,17564014,17434557,17041107,16617116,15899135,14944548,14130387,13037686,41850,419.6897,1.0036,0.22,Netherlands ,WESTERN EUROPE                     ,16491461,41526,397.1,1.09,2.91,5.04,28600.0,99.0,460.8,26.71,0.97,72.32,3,10.9,8.68,21,244,736
71,NLD,Netherlands,Amsterdam,Europe,17564014,17434557,17041107,16617116,15899135,14944548,14130387,13037686,41850,419.6897,1.0036,0.22,Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,960,231.0,37.92,-0.41,10.03,11400.0,96.7,365.3,10.0,0.0,90.0,2,14.78,6.45,0.01,0.15,0.84
185,NCL,New Caledonia,Nouméa,Oceania,289950,286403,283032,261426,221537,177264,148599,110982,18575,15.6097,1.0075,0.0,New Caledonia ,OCEANIA                            ,219246,19060,11.5,11.83,0,7.72,15000.0,91.0,252.2,0.38,0.33,99.29,2,18.11,5.69,0.15,88,762
123,NZL,New Zealand,Wellington,Oceania,5185288,5061133,4590590,4346338,3855266,3397389,3147168,2824061,270467,19.1716,1.0108,0.07,New Zealand ,OCEANIA                            ,4076140,268680,15.2,5.63,4.05,5.85,21600.0,99.0,441.7,5.6,6.99,87.41,3,13.76,7.53,43,273,684
106,NIC,Nicaragua,Managua,North America,6948392,6755895,6298598,5855734,5123222,4227820,3303309,2444767,130373,53.2962,1.0143,0.09,Nicaragua ,LATIN AMER. & CARIB    ,5570129,129494,43.0,0.70,-1.22,29.11,2300.0,67.5,39.7,15.94,1.94,82.12,2,24.51,4.45,165,275,0.56
54,NER,Niger,Niamey,Africa,26207977,24333639,20128124,16647543,11622665,8370647,6173177,4669708,1267000,20.6851,1.0378,0.33,Niger ,SUB-SAHARAN AFRICA                 ,12525094,1267000,9.9,0.00,-0.67,121.69,800.0,17.6,1.9,3.54,0.01,96.45,1,50.73,20.91,0.39,0.17,0.44
6,NGA,Nigeria,Abuja,Africa,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264,923768,236.5759,1.0241,2.74,Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,923768,142.7,0.09,0.26,98.8,900.0,68.0,9.3,31.29,2.96,65.75,1.5,40.43,16.94,269,487,244
56,PRK,North Korea,Pyongyang,Asia,26069416,25867467,25258015,24686435,23367059,20799523,17973650,14996879,120538,216.2755,1.0038,0.33,Korea. North ,ASIA (EX. NEAR EAST)         ,23113019,120540,191.8,2.07,0,24.04,1300.0,99.0,42.4,20.76,2.49,76.75,3,15.54,7.13,0.3,0.34,0.36
150,MKD,North Macedonia,Skopje,Europe,2093599,2111072,2107962,2093828,2037936,2044174,1907023,1656783,25713,81.4218,0.9954,0.03,Macedonia ,EASTERN EUROPE                     ,2050554,25333,80.9,0.00,-1.45,10.09,6700.0,,260.0,22.26,1.81,75.93,3,12.02,8.77,118,319,563
210,NFK,Northern Mariana Islands,Saipan,Oceania,49551,49587,51514,54087,80338,48002,17613,10143,464,106.7909,1.0014,0.0,N. Mariana Islands ,OCEANIA                            ,82459,477,172.9,310.69,9.61,7.11,12500.0,97.0,254.7,13.04,4.35,82.61,2,19.43,2.29,nan,nan,nan
120,NOR,Norway,Oslo,Europe,5434319,5379839,5190356,4889741,4491202,4241636,4085776,3875546,323802,16.7828,1.0058,0.07,Norway ,WESTERN EUROPE                     ,4610820,323802,14.2,7.77,1.74,3.7,37800.0,100.0,461.7,2.87,0.0,97.13,3,11.46,9.4,21,415,564
127,OMN,Oman,Muscat,Asia,4576298,4543399,4191776,2881914,2344253,1804524,1017462,670693,309500,14.7861,1.0123,0.06,Oman ,NEAR EAST                          ,3102229,212460,14.6,0.98,0.28,19.51,13100.0,75.8,85.5,0.0,0.14,99.74,1,36.24,3.81,27,0.39,583
5,PAK,Pakistan,Islamabad,Asia,235824862,227196741,210969298,194454498,154369924,115414069,80624057,59290872,881912,267.4018,1.0191,2.96,Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,803940,206.2,0.13,-2.77,72.44,2100.0,45.7,31.8,27.87,0.87,71.26,1,29.74,8.23,216,251,533
222,PLW,Palau,Ngerulmud,Oceania,18055,17972,17794,18540,19726,15293,12252,11366,459,39.3355,1.0017,0.0,Palau ,OCEANIA                            ,20579,458,44.9,331.66,2.85,14.84,9000.0,92.0,325.6,8.7,4.35,86.95,2,18.03,6.8,62,0.12,818
128,PAN,Panama,Panama City,North America,4408581,4294396,3957099,3623617,3001731,2449968,1956987,1516188,75417,58.4561,1.0132,0.06,Panama ,LATIN AMER. & CARIB    ,3191319,78200,40.8,3.18,-0.91,20.47,6300.0,92.6,137.9,7.36,1.98,90.66,2,21.74,5.36,68,156,776
93,PNG,Papua New Guinea,Port Moresby,Oceania,10142619,9749640,8682174,7583269,5508297,3864972,3104788,2489059,462840,21.9139,1.0194,0.13,Papua New Guinea ,OCEANIA                            ,5670544,462840,12.3,1.11,0,51.45,2200.0,64.6,10.9,0.46,1.44,98.1,2,29.36,7.25,353,381,266
109,PRY,Paraguay,Asunción,South America,6780744,6618695,6177950,5768613,5123819,4059195,3078912,2408787,406752,16.6705,1.0115,0.09,Paraguay ,LATIN AMER. & CARIB    ,6506464,406750,16.0,0.00,-0.08,25.63,4700.0,94.0,49.2,7.6,0.23,92.17,2,29.1,4.49,224,207,569
44,PER,Peru,Lima,South America,34049588,33304756,30711863,29229572,26654439,22109099,17492406,13562371,1285216,26.4933,1.0099,0.43,Peru ,LATIN AMER. & CARIB    ,28302603,1285220,22.0,0.19,-1.05,31.94,5100.0,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65
13,PHL,Philippines,Manila,Asia,115559009,112190977,103031365,94636700,77958223,61558898,48419546,37435586,342353,337.5434,1.0147,1.45,Philippines ,ASIA (EX. NEAR EAST)         ,89468677,300000,298.2,12.10,-1.5,23.51,4600.0,92.6,38.4,18.95,16.77,64.28,2,24.89,5.41,144,326,0.53
37,POL,Poland,Warsaw,Europe,39857145,38428366,38553146,38597353,38504431,38064255,35521429,32482943,312679,127.4698,1.0404,0.5,Poland ,EASTERN EUROPE                     ,38536869,312685,123.3,0.16,-0.49,8.51,11100.0,99.8,306.3,45.91,1.12,52.97,3,9.85,9.89,0.05,311,0.64
92,PRT,Portugal,Lisbon,Europe,10270865,10298192,10365435,10588401,10300626,10007346,9785252,8683631,92090,111.5307,0.9981,0.13,Portugal ,WESTERN EUROPE                     ,10605870,92391,114.8,1.94,3.57,5.05,18000.0,93.3,399.2,21.75,7.81,70.44,3,10.72,10.5,53,274,673
136,PRI,Puerto Rico,San Juan,North America,3252407,3271564,3497335,3717922,3827108,3543776,3214568,2737619,8870,366.675,0.9989,0.04,Puerto Rico ,LATIN AMER. & CARIB    ,3927188,13790,284.8,3.63,-1.46,8.24,16800.0,94.1,283.1,3.95,5.52,90.53,2,12.77,7.65,0.01,0.45,0.54
143,QAT,Qatar,Doha,Asia,2695122,2760385,2414573,1713504,645937,441675,277450,118007,11586,232.6189,1.0026,0.03,Qatar ,NEAR EAST                          ,885359,11437,77.4,4.92,16.29,18.61,21500.0,82.5,232.0,1.64,0.27,98.09,1,15.56,4.72,2,801,197
161,REU,Reunion,Saint-Denis,Africa,974052,957822,922495,890130,785424,658992,551674,473925,2511,387.914,1.0082,0.01,Reunion ,SUB-SAHARAN AFRICA                 ,787584,2517,312.9,8.22,0,7.78,5800.0,88.9,380.9,13.6,1.2,85.2,2,18.9,5.49,0.08,0.19,0.73
64,ROU,Romania,Bucharest,Europe,19659267,19442038,19906079,20335211,21919876,22836234,22125224,19922618,238391,82.4665,1.0171,0.25,Romania ,EASTERN EUROPE                     ,22303552,237500,93.9,0.09,-0.13,26.43,7000.0,98.4,196.9,40.82,2.25,56.93,3,10.7,11.77,101,0.35,549
9,RUS,Russia,Moscow,Europe,144713314,145617329,144668389,143242599,146844839,148005704,138257420,130093010,17098242,8.4636,0.9973,1.81,Russia ,C.W. OF IND. STATES ,142893540,17075200,8.4,0.22,1.02,15.39,8900.0,99.6,280.6,7.33,0.11,92.56,nan,9.95,14.65,54,371,575
76,RWA,Rwanda,Kigali,Africa,13776698,13146362,11642959,10309031,8109989,7319962,5247532,3896367,26338,523.0731,1.0234,0.17,Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,26338,328.4,0.00,0,91.23,1300.0,70.4,2.7,40.54,12.16,47.3,3,40.37,16.09,401,229,0.37
211,KNA,Saint Kitts and Nevis,Basseterre,North America,47657,47642,47790,47403,45461,40636,43097,44968,261,182.5939,1.0011,0.0,Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,413,18.2,14.53,0,19,2500.0,97.0,293.3,12.9,0.0,87.1,nan,12.13,6.53,nan,nan,nan
211,KNA,Saint Kitts and Nevis,Basseterre,North America,47657,47642,47790,47403,45461,40636,43097,44968,261,182.5939,1.0011,0.0,Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,261,149.9,51.72,-7.11,14.49,8800.0,97.0,638.9,19.44,2.78,77.78,2,18.02,8.33,35,258,707
190,LCA,Saint Lucia,Castries,North America,179857,179237,175623,170935,159500,142301,121633,103090,616,291.9756,1.0011,0.0,Saint Lucia ,LATIN AMER. & CARIB    ,168458,616,273.5,25.65,-2.67,13.53,5400.0,67.0,303.3,6.56,22.95,70.49,2,19.68,5.08,0.07,0.2,0.73
229,SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,5862,5906,5978,6052,6274,6324,6106,5537,242,24.2231,0.9964,0.0,St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,242,29.0,49.59,-4.86,7.54,6900.0,99.0,683.2,13.04,0.0,86.96,nan,13.52,6.83,nan,nan,nan
199,VCT,Saint Vincent and the Grenadines,Kingstown,North America,103948,104632,106482,109308,113813,112487,107480,98459,389,267.2185,0.9963,0.0,Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389,303.0,21.59,-7.64,14.78,2900.0,96.0,190.9,17.95,17.95,64.1,2,16.18,5.98,0.1,0.26,0.64
188,WSM,Samoa,Apia,Oceania,222382,214929,203571,194672,184008,168186,164905,142771,2842,78.2484,1.0165,0.0,Samoa ,OCEANIA                            ,176908,2944,60.1,13.69,-11.7,27.71,5600.0,99.7,75.2,21.2,24.38,54.42,2,16.43,6.62,114,584,302
218,SMR,San Marino,San Marino,Europe,33660,34007,33570,31608,26823,23132,21346,18169,61,551.8033,0.9975,0.0,San Marino ,WESTERN EUROPE                     ,29251,61,479.5,0.00,10.98,5.73,34600.0,96.0,704.3,16.67,0.0,83.33,nan,10.02,8.17,nan,nan,nan
187,STP,Sao Tome and Principe,São Tomé,Africa,227380,218641,201124,182138,143714,120343,97210,77583,964,235.8714,1.0192,0.0,Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001,193.2,20.88,-2.72,43.11,1200.0,79.3,36.2,6.25,48.96,44.79,2,40.25,6.47,167,148,684
41,SAU,Saudi Arabia,Riyadh,Asia,36408820,35997107,32749848,29411929,21547390,16004763,10171710,6106191,2149690,16.9368,1.0128,0.46,Saudi Arabia ,NEAR EAST                          ,27019731,1960582,13.8,0.13,-2.71,13.24,11800.0,78.8,140.6,1.67,0.09,98.24,1,29.34,2.58,33,613,354
72,SEN,Senegal,Dakar,Africa,17316449,16436119,14356181,12530121,9704287,7536001,5703869,4367744,196722,88.025,1.0261,0.22,Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190,61.1,0.27,0.2,55.51,1600.0,40.2,22.2,12.78,0.21,87.01,2,32.78,9.42,172,209,619
