Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
31,UGA,Uganda,Kampala,Africa,47249585,44404611,37477356,32341728,24020697,17586630,13284026,10317212,241550,195.61,1.0304,0.59,Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,119.5,0.00,0,67.83,1400.0,69.9,3.6,25.88,10.65,63.47,2,47.35,12.24,311,222,469
38,UKR,Ukraine,Kiev,Europe,39701739,43909666,44982564,45683020,48879755,51589817,49973920,47279086,603500,65.7858,0.912,0.5,Ukraine ,C.W. OF IND. STATES ,46710816,603700,77.4,0.46,-0.39,20.34,5400.0,99.7,259.9,56.21,1.61,42.18,3,8.82,14.39,187,452,361
97,ARE,United Arab Emirates,Abu Dhabi,Asia,9441129,9287289,8916899,8481771,3275333,1900151,1014048,298084,83600,112.9322,1.0081,0.12,United Arab Emirates ,NEAR EAST                          ,2602713,82880,31.4,1.59,1.03,14.51,23200.0,77.9,475.3,0.6,2.25,97.15,1,18.96,4.4,0.04,585,375
21,GBR,United Kingdom,London,Europe,67508936,67059474,65224364,62760039,58850043,57210442,56326328,55650166,242900,277.9289,1.0034,0.85,United Kingdom ,WESTERN EUROPE                     ,60609153,244820,247.6,5.08,2.19,5.16,27700.0,99.0,543.5,23.46,0.21,76.33,3,10.71,10.13,5,237,758
3,USA,United States,"Washington, D.C.",North America,338289857,335942003,324607776,311182845,282398554,248083732,223140018,200328340,9372610,36.0935,1.0038,4.24,United States ,NORTHERN AMERICA                   ,298444215,9631420,31.0,0.21,3.41,6.5,37800.0,97.0,898.0,19.13,0.22,80.65,3,14.14,8.26,0.01,204,787
133,URY,Uruguay,Montevideo,South America,3422794,3429086,3402818,3352651,3292224,3117012,2953750,2790265,181034,18.9069,0.999,0.04,Uruguay ,LATIN AMER. & CARIB    ,3431932,176220,19.5,0.37,-0.32,11.95,12800.0,98.0,291.4,7.43,0.23,92.34,3,13.91,9.05,93,311,596
43,UZB,Uzbekistan,Tashkent,Asia,34627652,33526656,30949417,28614227,24925554,20579100,15947129,12011361,447400,77.3975,1.016,0.43,Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,61.0,0.00,-1.72,71.1,1700.0,99.3,62.9,10.83,0.83,88.34,1,26.36,7.84,342,229,0.43
181,VUT,Vanuatu,Port-Vila,Oceania,326740,311685,276438,245453,192074,150882,118156,87019,12189,26.8061,1.0238,0.0,Vanuatu ,OCEANIA                            ,208869,12200,17.1,20.72,0,55.16,2900.0,53.0,32.6,2.46,7.38,90.16,2,22.72,7.82,0.26,0.12,0.62
51,VEN,Venezuela,Caracas,South America,28301696,28490453,30529716,28715022,24427729,19750579,15210443,11355475,916445,30.882,1.0036,0.35,Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,28.2,0.31,-0.04,22.2,4800.0,93.4,140.1,2.95,0.92,96.13,2,18.71,4.92,0.04,419,541
16,VNM,Vietnam,Hanoi,Asia,98186856,96648685,92191398,87411012,79001142,66912613,52968270,41928849,331212,296.4472,1.0074,1.23,Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,256.1,1.05,-0.45,25.95,2500.0,90.3,187.7,19.97,5.95,74.08,2,16.86,6.22,209,0.41,381
226,WLF,Wallis and Futuna,Mata-Utu,Oceania,11572,11655,12182,13142,14723,13454,11315,9377,142,81.493,0.9953,0.0,Wallis and Futuna ,OCEANIA                            ,16025,274,58.5,47.08,nan,nan,3700.0,50.0,118.6,5.0,25.0,70.0,2,,,nan,nan,nan
172,ESH,Western Sahara,El Aaiún,Africa,575986,556048,491824,413296,270375,178529,116775,76371,266000,2.1654,1.0184,0.01,Western Sahara ,NORTHERN AFRICA                    ,273008,266000,1.0,0.42,nan,nan,,,,0.02,0.0,99.98,1,,,nan,nan,0.4
46,YEM,Yemen,Sanaa,Asia,33696614,32284046,28516545,24743946,18628700,13375121,9204938,6843607,527968,63.8232,1.0217,0.42,Yemen ,NEAR EAST                          ,21456188,527970,40.6,0.36,0,61.5,800.0,50.2,37.2,2.78,0.24,96.98,1,42.89,8.3,135,472,393
63,ZMB,Zambia,Lusaka,Africa,20017675,18927715,16248230,13792086,9891136,7686401,5720438,4281671,752612,26.5976,1.028,0.25,Zambia ,SUB-SAHARAN AFRICA                 ,11502010,752614,15.3,0.00,0,88.29,800.0,80.6,8.2,7.08,0.03,92.9,2,41.0,19.93,0.22,0.29,489
74,ZWE,Zimbabwe,Harare,Africa,16320537,15669666,14154937,12839771,11834676,10113893,7049926,5202918,390757,41.7665,1.0204,0.2,Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,390580,31.3,0.00,0,67.69,1900.0,90.7,26.8,8.32,0.34,91.34,2,28.01,21.84,179,243,579
